gal	glu	samp_id	plate	source.plate	r	c	rc	genotype.strain	genotype.plasmid	genotype.strain1	strain.arb	description	delta.GAL3	delta.GAL80	delta.GAL4	copies.GAL3.genome	copies.GAL80.genome	copies.GAL4.genome	tx.mix.arb	170918.prod1	170918.prod2	170918.prod3	170918.prod4	170918.prod5	170918.prod6	pRS415	vec.amplified	copies.GAL3.plasmid	copies.GAL80.plasmid	copies.GAL4.plasmid	total.copies.GAL3	total.copies.GAL80	total.copies.GAL4
0	1	170927-Plate_001.A1	Plate_001	Plate_073	A	1	A1	AN606	vector	GAL80.delta	strain.1	AN566 delta.GAL80.locus::HYG	0	1	0	1	0	1	tx.mix.1	0	0	0	0	0	0	1	0	0	0	0	1	0	1
0	1	170927-Plate_001.A2	Plate_001	Plate_073	A	2	A2	AN607	vector	GAL3.delta	strain.2	AN566 delta.GAL3.locus::HYG	1	0	0	0	1	1	tx.mix.1	0	0	0	0	0	0	1	0	0	0	0	0	1	1
0	1	170927-Plate_001.A3	Plate_001	Plate_073	A	3	A3	AN608	vector	GAL4.delta	strain.3	AN566 delta.GAL4.locus::HYG	0	0	1	1	1	0	tx.mix.1	0	0	0	0	0	0	1	0	0	0	0	1	1	0
0	1	170927-Plate_001.A4	Plate_001	Plate_073	A	4	A4	AN609	vector	GAL80.delta GAL4.delta	strain.4	AN606 (delta.GAL80.locus::HYG) delta.GAL4.locus::CaURA3 (from pAMN24 template)	0	1	1	1	0	0	tx.mix.1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
0	1	170927-Plate_001.A5	Plate_001	Plate_073	A	5	A5	AN610	vector	GAL3.delta GAL4.delta	strain.5	AN607 (delta.GAL3.locus::HYG) delta.GAL4.locus::CaURA3 (from pAMN24 template)	1	0	1	0	1	0	tx.mix.1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
0	1	170927-Plate_001.A6	Plate_001	Plate_073	A	6	A6	AN611	vector	GAL3.delta GAL80.delta	strain.6	AN607 (delta.GAL3.locus::HYG) delta.GAL80.locus::NAT	1	1	0	0	0	1	tx.mix.1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
0	1	170927-Plate_001.A7	Plate_001	Plate_073	A	7	A7	AN612	vector	GAL3.delta GAL80.delta GAL4.delta	strain.7	AN611 (delta.GAL3.locus::HYG) (delta.GAL80.locus::NAT) delta.GAL4.locus::CaURA3 (from pAMN24 template)	1	1	1	0	0	0	tx.mix.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	1	170927-Plate_001.A8	Plate_001	Plate_073	A	8	A8	AN566	vector	WT	strain.8	BY4741 + GAL1-YFP-KAN	0	0	0	1	1	1	tx.mix.1	0	0	0	0	0	0	1	0	0	0	0	1	1	1
0	1	170927-Plate_001.A9	Plate_001	Plate_073	A	9	A9	KV447	vector	autofluorescent	Strain.9	BY4741	0	0	0	1	1	1	tx.mix.1	0	0	0	0	0	0	1	0	0	0	0	1	1	1
0	1	170927-Plate_001.A10	Plate_001	Plate_073	A	10	A10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0	1	170927-Plate_001.A11	Plate_001	Plate_073	A	11	A11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
