yfp.min	yfp.5th	yfp.25th	yfp.median	yfp.75th	yfp.95th	yfp.max	yfp.mean	yfp.variance	fracon	mean.norm.fsc	var.norm.fsc	N	mean.on.fraction	var.on.fraction	cells.per.sec	dip.stat	dip.pval	mean.fsc	median.fsc	mean.ssc	median.ssc	FITC.saturation.corrected	pct.oversaturation	(-0.5,-0.447]	(-0.447,-0.393]	(-0.393,-0.34]	(-0.34,-0.287]	(-0.287,-0.233]	(-0.233,-0.18]	(-0.18,-0.127]	(-0.127,-0.0733]	(-0.0733,-0.02]	(-0.02,0.0333]	(0.0333,0.0867]	(0.0867,0.14]	(0.14,0.193]	(0.193,0.247]	(0.247,0.3]	(0.3,0.353]	(0.353,0.407]	(0.407,0.46]	(0.46,0.513]	(0.513,0.567]	(0.567,0.62]	(0.62,0.673]	(0.673,0.727]	(0.727,0.78]	(0.78,0.833]	(0.833,0.887]	(0.887,0.94]	(0.94,0.993]	(0.993,1.05]	(1.05,1.1]	(1.1,1.15]	(1.15,1.21]	(1.21,1.26]	(1.26,1.31]	(1.31,1.37]	(1.37,1.42]	(1.42,1.47]	(1.47,1.53]	(1.53,1.58]	(1.58,1.63]	(1.63,1.69]	(1.69,1.74]	(1.74,1.79]	(1.79,1.85]	(1.85,1.9]	(1.9,1.95]	(1.95,2.01]	(2.01,2.06]	(2.06,2.11]	(2.11,2.17]	(2.17,2.22]	(2.22,2.27]	(2.27,2.33]	(2.33,2.38]	(2.38,2.43]	(2.43,2.49]	(2.49,2.54]	(2.54,2.59]	(2.59,2.65]	(2.65,2.7]	samp_id
-175	7800.65971679688	13820.099609375	20860	30200.099609375	48527.21796875	122773	23369.3218627926	171941409.501599	0.985401459854015	7.16944070174886	6.99271781365264	6439	23715.5993498048	166274051.265134	18197.2402032309	0.00232841458467404	0.998264363600429	3479.52896412486	3329	4128.15203238444	3941	0	0	0	0	0	0	0	0	0	2	16	72	4	0	0	0	0	0	0	1	1	0	1	1	5	20	18	60	112	185	271	318	379	443	485	552	564	582	555	472	408	342	233	156	89	51	22	14	3	1	1	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.A1
-390.600006103516	-61.5999984741211	2.79999995231628	50.3999977111816	99.4000015258789	180.599990844727	58842	65.2253720851242	599569.093830606	0.000973393900064893	0.0174954738267131	0.0360477927036375	6164	13396.599802653	518470385.344639	16753.1734997533	0.00752931820505844	0.0790450872015019	4038.42813108371	3929.5	4741.23937643696	4551.39990234375	0	0	0	0	0	0	0	2	7	34	456	3566	1969	124	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.A2
-200.199996948242	-53.9699995040893	2.79999995231628	43.3999977111816	89.5999984741211	166.599990844727	427	48.0838889888198	4546.66937629491	0.000459418070444104	0.0147221608099507	0.00068317464916352	6530	406.933329264323	341.693302002115	19416.1217006214	0.00698521968009719	0.116923668993455	3474.96439509954	3361.5	4418.31630807032	4210.49975585938	0	0	0	0	0	0	0	0	0	3	429	4190	1820	85	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.A3
-243.599990844727	-58.7999992370605	-2.79999995231628	37.7999992370605	84	159.179992675781	394.799987792969	42.0517952058832	4349.02080033413	0.000154154462771697	0.0122810446828237	0.000616746711228079	6487	394.799987792969	NA	18893.0152799951	0.00759974667511083	0.0710360975708682	3559.87706181594	3441	4337.58752990883	4135.60009765625	0	0	0	0	0	0	0	0	0	4	509	4218	1705	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.A4
-215.599990844727	-51.7999992370605	-1.39999997615814	39.2000007629395	81.1999969482422	156.800003051758	427	42.8268537462224	4110.94203868456	0.000156494522691706	0.0141202417142051	0.000728357977924551	6390	427	NA	18716.9511350622	0.00804062632247144	0.0428941737282427	3307.2161971831	3167.25	4387.43122487911	4135.60009765625	0	0	0	0	0	0	0	0	0	3	428	4273	1632	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.A5
-98	7895.16005859375	13609.3999023438	20469.400390625	29339.798828125	48257.720703125	119313.6015625	23039.5495091188	164303244.15628	0.990221946298308	7.38071130156053	11.4424263996708	6443	23267.11703562	160628809.77546	18057.7249941141	0.00312103774353397	0.98476630037141	3431.37552382431	3343	4436.58406281223	4240.60009765625	0	0	0	0	0	0	0	0	0	0	17	42	3	1	0	0	1	0	0	0	0	1	1	2	5	8	32	57	132	182	251	335	434	468	488	568	571	577	563	487	374	295	203	156	100	58	18	11	1	0	1	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.A6
-579.599975585938	-61.5999984741211	-4.19999980926514	36.3999977111816	78.4000015258789	155.399993896484	34237	56.9265403258595	431112.805297421	0.00109546165884194	0.0177521786411179	0.052880040394709	6390	17306.9995509556	105953135.275818	17646.6081792613	0.00790111296833461	0.0531323693552359	3258.30187793427	3095.75	4247.83961647762	4001.19995117188	0	0	0	0	2	0	3	6	29	25	449	4304	1515	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.A7
-175	-51.7999992370605	2.79999995231628	44.7999992370605	93.7999954223633	175	438.199981689453	51.5748110440098	4888.27848905805	0.000300932891965092	0.0148639732853045	0.000595006333265863	6646	427.699981689453	220.5	19481.4888274508	0.00770975765919563	0.0457052203910092	3624.23051459525	3522.25	4442.24437139409	4216.7998046875	0	0	0	0	0	0	0	0	0	1	416	4145	1968	114	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.A8
-229.599990844727	-47.5999984741211	4.19999980926514	44.7999992370605	91	166.599990844727	387.799987792969	50.4161151817587	4462.35309761269	0.000149499177754522	0.0156275161000343	0.000622036167605214	6689	387.799987792969	NA	19917.6861402212	0.00724390848324999	0.0754621444624125	3429.22409926745	3327.5	4309.52287532688	4121.60009765625	0	0	0	0	0	0	0	0	0	6	350	4288	1950	94	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.A9
-163.800003051758	8434.15986328125	15610	22919.400390625	32263	51023.558203125	127464.3984375	25207.2926808684	188543483.21654	0.968472604836241	7.82535388042317	8.36798939465415	6534	26026.8128282086	173376169.842523	20027.6097518601	0.00472397794734936	0.482994010659109	3429.59090909091	3373.5	4245.20338389966	4080.29992675781	0	0	0	0	0	0	0	0	0	1	23	130	50	2	0	0	0	1	1	0	0	0	1	2	1	2	13	17	35	91	146	253	336	417	458	535	598	609	667	553	520	378	256	191	112	71	40	17	5	1	1	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.B1
-233.800003051758	-50.3999977111816	7	47.5999984741211	95.1999969482422	176.399993896484	52222.80078125	81.4775351253277	1082318.01067116	0.00132824173999668	0.0204602138792307	0.040431115406347	6023	21737.4498977661	390267879.697968	14839.0710682084	0.0077314128362635	0.0613146798981823	3739.13265814378	3688	4595.3963675134	4401.60009765625	0	0	0	0	0	0	0	0	0	6	359	3707	1849	94	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.B2
-182	-50.3999977111816	5.59999990463257	44.7999992370605	91	168	380.799987792969	50.762838602634	4419.44652313543	0	0.0159513145712124	0.000633645375099247	6297	NA	NA	17534.2013380521	0.00805784293547951	0.0362762176756305	3409.12585358107	3300	4374.16241423092	4200	0	0	0	0	0	0	0	0	0	3	377	3976	1863	77	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.B3
-176.399993896484	-54.5999984741211	2.79999995231628	42	85.4000015258789	158.199996948242	350	46.0295236315394	4199.29785710784	0	0.0155979603229554	0.00095012202473037	6266	NA	NA	16579.3870982571	0.00752036766241905	0.0743424701756334	3425.87464091925	3269	4408.64036581975	4182.49975585938	0	0	0	0	0	0	0	0	0	1	418	4082	1711	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.B4
-211.399993896484	-54.5999984741211	0	37.7999992370605	82.5999984741211	158.199996948242	396.199981689453	43.2574151052751	4213.72020377223	0.000161917098445596	0.0133022291558864	0.000597848370903472	6176	396.199981689453	NA	16444.4986715237	0.00829332299311796	0.0368676983868301	3388.49368523316	3259	4340.67453848883	4120.89990234375	0	0	0	0	0	0	0	0	0	4	425	4104	1591	50	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.B5
-148.399993896484	8873.4798828125	16000.599609375	23331	33171.59765625	51758.56015625	128818.1953125	25814.6976914962	192908824.868066	0.976424668227947	7.17967891672865	7.30347566743451	6405	26436.740824144	181151596.790616	17584.0498823458	0.00255472805692148	0.995750356122456	3789.4012490242	3783	4521.37237879495	4376.39990234375	0	0	0	0	0	0	0	0	0	0	15	91	35	10	5	2	3	0	4	3	1	3	1	3	1	2	8	14	34	85	133	236	318	402	463	540	580	591	605	553	482	400	299	225	114	84	40	15	4	0	0	1	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.B6
-215.599990844727	-53.5500001907349	1.39999997615814	44.7999992370605	89.5999984741211	165.199996948242	28459.19921875	62.3872200195732	283865.101391353	0.000956022944550669	0.0199759321747205	0.0515344965593153	6276	14699.7662404378	93231753.0079535	16554.164649644	0.00772766162230955	0.0598460487182338	3784.28154875717	3684.25	4564.66668530009	4319	0	0	0	0	0	0	0	0	0	4	428	3945	1822	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.B7
-182	-49	4.19999980926514	46.2000007629395	89.5999984741211	165.199996948242	393.399993896484	49.610102994884	4353.82911030844	0.000157381177211206	0.0153034431494914	0.000555636752419802	6354	393.399993896484	NA	17439.202654781	0.00799939597952783	0.0396948486410031	3514.83183821215	3431.5	4388.45657964364	4190.19970703125	0	0	0	0	0	0	0	0	0	2	372	4053	1856	70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.B8
-154	-49	2.79999995231628	44.7999992370605	91	165.199996948242	368.199981689453	50.1314386593203	4382.9582423203	0	0.0153458321365915	0.000558426226851321	6266	NA	NA	17515.9594654258	0.00761368377138089	0.0662160351146758	3507.63429620172	3406.75	4446.34093729817	4242	0	0	0	0	0	0	0	0	0	0	358	3944	1885	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.B9
-211.399993896484	-47.5999984741211	11.1999998092651	57.3999977111816	119	14669.8999023438	81799.1953125	2004.56141260918	43478931.519677	0.131434830230011	0.716762070962993	5.53816936797843	6391	14930.616419438	138520113.651139	17691.4437818096	0.0339505981118605	0	3259.00884055703	3131	4253.91624318652	4074	0	0	0	0	0	0	0	0	0	4	338	3571	1576	62	5	3	6	7	10	6	7	11	8	17	20	33	38	36	42	50	63	49	64	61	44	45	43	37	34	36	19	14	12	10	4	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.C1
-179.199996948242	-51.7999992370605	4.19999980926514	47.5999984741211	93.7999954223633	169.399993896484	386.399993896484	51.2420743000072	4664.57766174278	0.000168435236651508	0.0138494431684989	0.000444458361197819	5937	386.399993896484	NA	13920.2996994025	0.00749228735125606	0.0926530123445869	3917.53006568974	3807.5	4765.34571525596	4524.7998046875	0	0	0	0	0	0	0	0	0	2	359	3680	1810	85	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.C2
-168	-54.5999984741211	1.39999997615814	42	86.7999954223633	161	403.199981689453	46.2236373286484	4445.3367484255	0.000159286396941701	0.0130848789401273	0.000492716170457454	6278	403.199981689453	NA	16526.2916637966	0.00795840407470289	0.0467085546781241	3673.75087607518	3560.5	4464.05713837555	4248.30004882812	0	0	0	0	0	0	0	0	0	5	436	4065	1696	75	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.C3
-177.800003051758	-58.7999992370605	-4.19999980926514	36.3999977111816	81.1999969482422	154	383.600006103516	40.4412994266019	4256.87308848618	0	0.0117581533412382	0.00049231249095784	6184	NA	NA	16241.1189068743	0.00844920527093376	0.0355111513394704	3623.90410737387	3460.5	4454.72770655386	4181.09985351562	0	0	0	0	0	0	0	0	0	5	492	4085	1549	51	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.C4
-193.199996948242	-50.3999977111816	-1.39999997615814	36.3999977111816	79.7999954223633	148.399993896484	553	40.9217708836995	3781.878391543	0.000155400155400155	0.0142797242361677	0.000914348335414247	6435	553	NA	17989.6327491103	0.00816884100011608	0.0368875141269343	3289.72703962704	3095	4384.75488810506	4155.19970703125	0	0	0	0	0	0	0	0	0	3	380	4433	1571	47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170927-Plate_001.C5
