cols	data	FCS.features	geno.features	keepcols
id	TRUE	TRUE	TRUE	TRUE
samp_id.glu	TRUE	TRUE	TRUE	TRUE
yfp.min.glu	TRUE	FALSE	FALSE	TRUE
yfp.5th.glu	TRUE	FALSE	FALSE	TRUE
yfp.25th.glu	TRUE	FALSE	FALSE	TRUE
yfp.median.glu	TRUE	FALSE	FALSE	TRUE
yfp.75th.glu	TRUE	FALSE	FALSE	TRUE
yfp.95th.glu	TRUE	FALSE	FALSE	TRUE
yfp.max.glu	TRUE	FALSE	FALSE	TRUE
yfp.mean.glu	TRUE	FALSE	FALSE	TRUE
yfp.variance.glu	TRUE	FALSE	FALSE	TRUE
fracon.glu	TRUE	FALSE	FALSE	TRUE
mean.norm.fsc.glu	TRUE	FALSE	FALSE	TRUE
var.norm.fsc.glu	TRUE	FALSE	FALSE	TRUE
N.glu	TRUE	FALSE	FALSE	TRUE
mean.on.fraction.glu	TRUE	FALSE	FALSE	TRUE
var.on.fraction.glu	TRUE	FALSE	FALSE	TRUE
cells.per.sec.glu	FALSE	FALSE	FALSE	FALSE
dip.stat.glu	TRUE	FALSE	FALSE	TRUE
dip.pval.glu	TRUE	FALSE	FALSE	TRUE
mean.fsc.glu	FALSE	TRUE	FALSE	TRUE
median.fsc.glu	FALSE	TRUE	FALSE	TRUE
mean.ssc.glu	FALSE	TRUE	FALSE	TRUE
median.ssc.glu	FALSE	TRUE	FALSE	TRUE
FITC.saturation.corrected.glu	FALSE	TRUE	FALSE	TRUE
pct.oversaturation.glu	FALSE	TRUE	FALSE	TRUE
dens__-0.4735.glu	TRUE	FALSE	FALSE	TRUE
dens__-0.42.glu	TRUE	FALSE	FALSE	TRUE
dens__-0.3665.glu	TRUE	FALSE	FALSE	TRUE
dens__-0.3135.glu	TRUE	FALSE	FALSE	TRUE
dens__-0.26.glu	TRUE	FALSE	FALSE	TRUE
dens__-0.2065.glu	TRUE	FALSE	FALSE	TRUE
dens__-0.1535.glu	TRUE	FALSE	FALSE	TRUE
dens__-0.10015.glu	TRUE	FALSE	FALSE	TRUE
dens__-0.04665.glu	TRUE	FALSE	FALSE	TRUE
dens__0.00665.glu	TRUE	FALSE	FALSE	TRUE
dens__0.06.glu	TRUE	FALSE	FALSE	TRUE
dens__0.11335.glu	TRUE	FALSE	FALSE	TRUE
dens__0.1665.glu	TRUE	FALSE	FALSE	TRUE
dens__0.22.glu	TRUE	FALSE	FALSE	TRUE
dens__0.2735.glu	TRUE	FALSE	FALSE	TRUE
dens__0.3265.glu	TRUE	FALSE	FALSE	TRUE
dens__0.38.glu	TRUE	FALSE	FALSE	TRUE
dens__0.4335.glu	TRUE	FALSE	FALSE	TRUE
dens__0.4865.glu	TRUE	FALSE	FALSE	TRUE
dens__0.54.glu	TRUE	FALSE	FALSE	TRUE
dens__0.5935.glu	TRUE	FALSE	FALSE	TRUE
dens__0.6465.glu	TRUE	FALSE	FALSE	TRUE
dens__0.7.glu	TRUE	FALSE	FALSE	TRUE
dens__0.7535.glu	TRUE	FALSE	FALSE	TRUE
dens__0.8065.glu	TRUE	FALSE	FALSE	TRUE
dens__0.86.glu	TRUE	FALSE	FALSE	TRUE
dens__0.9135.glu	TRUE	FALSE	FALSE	TRUE
dens__0.9665.glu	TRUE	FALSE	FALSE	TRUE
dens__1.0215.glu	TRUE	FALSE	FALSE	TRUE
dens__1.075.glu	TRUE	FALSE	FALSE	TRUE
dens__1.125.glu	TRUE	FALSE	FALSE	TRUE
dens__1.18.glu	TRUE	FALSE	FALSE	TRUE
dens__1.235.glu	TRUE	FALSE	FALSE	TRUE
dens__1.285.glu	TRUE	FALSE	FALSE	TRUE
dens__1.34.glu	TRUE	FALSE	FALSE	TRUE
dens__1.395.glu	TRUE	FALSE	FALSE	TRUE
dens__1.445.glu	TRUE	FALSE	FALSE	TRUE
