asdf	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10
a	const, low exp	uninducible	inducible	inducible	partially inducible	partially inducible	partially inducible	partially inducible	partially inducible	partially inducible
b	const, low exp	partially inducible	uninducible	NA	NA	partially inducible	const, low exp	uninducible	partially inducible and partially constitutive	inducible
c	inducible	uninducible	uninducible	uninducible	partially inducible	partially inducible and partially constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive	uninducible	partially inducible
d	partially inducible	partially inducible	trimodal in gal	trimodal in gal	trimodal in gal	trimodal in gal	trimodal in gal	trimodal in gal	const, low exp	partially inducible
e	inducible	uninducible	uninducible	uninducible	const, low exp	const, low exp	const, low exp	partially inducible and partially constitutive	uninducible	weakly inducible
f	const, low exp	uninducible	const, low exp	uninducible	uninducible	const, low exp	uninducible	uninducible	uninducible	uninducible
g	inducible	uninducible	partially inducible	uninducible	uninducible	const, low exp	partially inducible and partially constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive
h	uninducible	uninducible	partially inducible and partially constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive	const, low exp	const, low exp	const, low exp	const, low exp	const, low exp
i	partially inducible and partially constitutive	partially inducible and partially constitutive	weakly inducible	weakly inducible	weakly inducible	weakly inducible	inducible	uninducible	inducible	inducible
j	inducible	weakly inducible	weakly inducible	weakly inducible	weakly inducible	weakly inducible	weakly inducible	partially inducible and partially constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive
k	partially inducible and partially constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive	uninducible	inducible	inducible	inducible	constitutive	constitutive	uninducible
l	const, low exp	const, low exp	const, low exp	const, low exp	const, low exp	const, low exp	const, low exp	const, low exp	const, low exp	const, low exp
m	const, low exp	const, low exp	const, low exp	const, low exp	const, low exp	const, low exp	const, low exp	const, low exp	const, low exp	constitutive
n	partially inducible and partially constitutive	partially inducible and partially constitutive	const, low exp	const, low exp	partially inducible and partially constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive	uninducible	partially inducible and partially constitutive	constitutive
o	partially inducible and partially constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive	constitutive	uninducible
p	constitutive	partially inducible	inducible	inducible	const, low exp	const, low exp	constitutive	partially inducible and partially constitutive	partially inducible and partially constitutive	const, low exp
q	const, low exp	constitutive	constitutive	constitutive	partially inducible and partially constitutive	const, low exp	const, low exp	const, low exp	const, low exp	const, low exp
r	const, low exp	inducible	uninducible	const, low exp	NA	NA	NA	NA	NA	NA
