"sample_flow_rate"	"sample_volume"	"record_sample_volume"	"mixing_volume"	"mixing_speed"	"number_mixes"	"wash_volume"	"tube.name"	"plate.num"	"samp_id"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"A1"	"Plate_001"	"170705-Plate_001.A1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"A2"	"Plate_001"	"170705-Plate_001.A2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"A3"	"Plate_001"	"170705-Plate_001.A3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"A4"	"Plate_001"	"170705-Plate_001.A4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"A5"	"Plate_001"	"170705-Plate_001.A5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"A6"	"Plate_001"	"170705-Plate_001.A6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"A7"	"Plate_001"	"170705-Plate_001.A7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"A8"	"Plate_001"	"170705-Plate_001.A8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"A9"	"Plate_001"	"170705-Plate_001.A9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"A10"	"Plate_001"	"170705-Plate_001.A10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"A11"	"Plate_001"	"170705-Plate_001.A11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"A12"	"Plate_001"	"170705-Plate_001.A12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"B1"	"Plate_001"	"170705-Plate_001.B1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"B2"	"Plate_001"	"170705-Plate_001.B2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"B3"	"Plate_001"	"170705-Plate_001.B3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"B4"	"Plate_001"	"170705-Plate_001.B4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"B5"	"Plate_001"	"170705-Plate_001.B5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"B6"	"Plate_001"	"170705-Plate_001.B6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"B7"	"Plate_001"	"170705-Plate_001.B7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"B8"	"Plate_001"	"170705-Plate_001.B8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"B9"	"Plate_001"	"170705-Plate_001.B9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"B10"	"Plate_001"	"170705-Plate_001.B10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"B11"	"Plate_001"	"170705-Plate_001.B11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"B12"	"Plate_001"	"170705-Plate_001.B12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"C1"	"Plate_001"	"170705-Plate_001.C1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"C2"	"Plate_001"	"170705-Plate_001.C2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"C3"	"Plate_001"	"170705-Plate_001.C3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"C4"	"Plate_001"	"170705-Plate_001.C4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"C5"	"Plate_001"	"170705-Plate_001.C5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"C6"	"Plate_001"	"170705-Plate_001.C6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"C7"	"Plate_001"	"170705-Plate_001.C7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"C8"	"Plate_001"	"170705-Plate_001.C8"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"C9"	"Plate_001"	"170705-Plate_001.C9"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"C10"	"Plate_001"	"170705-Plate_001.C10"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"C11"	"Plate_001"	"170705-Plate_001.C11"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"C12"	"Plate_001"	"170705-Plate_001.C12"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"D1"	"Plate_001"	"170705-Plate_001.D1"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"D2"	"Plate_001"	"170705-Plate_001.D2"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"D3"	"Plate_001"	"170705-Plate_001.D3"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"D4"	"Plate_001"	"170705-Plate_001.D4"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"D5"	"Plate_001"	"170705-Plate_001.D5"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"D6"	"Plate_001"	"170705-Plate_001.D6"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"D7"	"Plate_001"	"170705-Plate_001.D7"
"0.5"	"10"	"10"	"50"	"200"	"0"	"200"	"D8"	"Plate_001"	"170705-Plate_001.D8"
