"clone.named"	"HDB1"	"HDB2"
"GAL3.01 GAL80.01 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.01 GAL80.02 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.01 GAL80.03 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.01 GAL80.04 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.01 GAL80.05 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.06 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.07 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.01 GAL80.09 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.10 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.11 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.12 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.13 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.14 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.15 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.16 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.17 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.18 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.19 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.20 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.21 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.22 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.23 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.01 GAL80.24 GAL4.WT"	"uninducible"	"uninducible"
"GAL3.01 GAL80.25 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.01 GAL80.27 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.01 GAL80.28 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.01 GAL80.29 GAL4.WT"	"constitutive"	"constitutive"
"GAL3.01 GAL80.30 GAL4.WT"	"outlying"	"outlying"
"GAL3.01 GAL80.33 GAL4.WT"	"uninducible"	"uninducible"
