clone.id	source.plate	source.plate.suffix	source.plate.1	r	c	rc	tx.plate.suffix	tx.plate	tx.rc	tx.r	tx.c	GAL4.allele	GAL80.allele	GAL3.allele	GALK.allele	tx.rep	GALK.clone.named	gene	parental.txant	GAL3.clone.named	GAL80.clone.named	GAL4.clone.named
180324-Plate_001.A1	180324-Plate_001	1	Plate_001	A	1	A1	1	Plate_001	A1	A	1	GAL4.WT	GAL80.WT	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.WT	GAL4.WT
180324-Plate_001.A2	180324-Plate_001	1	Plate_001	A	2	A2	1	Plate_001	A2	A	2	GAL4.WT	GAL80.delta	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.delta	GAL4.WT
180324-Plate_001.A3	180324-Plate_001	1	Plate_001	A	3	A3	1	Plate_001	A3	A	3	GAL4.WT	GAL80.07	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.07	GAL4.WT
180324-Plate_001.A4	180324-Plate_001	1	Plate_001	A	4	A4	1	Plate_001	A4	A	4	GAL4.WT	GAL80.35	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-2	GAL4.WT
180324-Plate_001.A5	180324-Plate_001	1	Plate_001	A	5	A5	1	Plate_001	A5	A	5	GAL4.WT	GAL80.37	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-1	GAL4.WT
180324-Plate_001.A6	180324-Plate_001	1	Plate_001	A	6	A6	1	Plate_001	A6	A	6	GAL4.WT	GAL80.41	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-0	GAL4.WT
180324-Plate_001.A7	180324-Plate_001	1	Plate_001	A	7	A7	1	Plate_001	A7	A	7	GAL4.WT	GAL80.WT	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.WT	GAL4.WT
180324-Plate_001.A8	180324-Plate_001	1	Plate_001	A	8	A8	1	Plate_001	A8	A	8	GAL4.WT	GAL80.delta	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.delta	GAL4.WT
180324-Plate_001.A9	180324-Plate_001	1	Plate_001	A	9	A9	1	Plate_001	A9	A	9	GAL4.WT	GAL80.07	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.07	GAL4.WT
180324-Plate_001.A10	180324-Plate_001	1	Plate_001	A	10	A10	1	Plate_001	A10	A	10	GAL4.WT	GAL80.35	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-2	GAL4.WT
180324-Plate_001.A11	180324-Plate_001	1	Plate_001	A	11	A11	1	Plate_001	A11	A	11	GAL4.WT	GAL80.37	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-1	GAL4.WT
180324-Plate_001.A12	180324-Plate_001	1	Plate_001	A	12	A12	1	Plate_001	A12	A	12	GAL4.WT	GAL80.41	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-0	GAL4.WT
180324-Plate_001.B1	180324-Plate_001	1	Plate_001	B	1	B1	1	Plate_001	B1	B	1	GAL4.delta	GAL80.WT	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.WT	GAL4.delta
180324-Plate_001.B2	180324-Plate_001	1	Plate_001	B	2	B2	1	Plate_001	B2	B	2	GAL4.delta	GAL80.delta	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.delta	GAL4.delta
180324-Plate_001.B3	180324-Plate_001	1	Plate_001	B	3	B3	1	Plate_001	B3	B	3	GAL4.delta	GAL80.07	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.07	GAL4.delta
180324-Plate_001.B4	180324-Plate_001	1	Plate_001	B	4	B4	1	Plate_001	B4	B	4	GAL4.delta	GAL80.35	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-2	GAL4.delta
180324-Plate_001.B5	180324-Plate_001	1	Plate_001	B	5	B5	1	Plate_001	B5	B	5	GAL4.delta	GAL80.37	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-1	GAL4.delta
180324-Plate_001.B6	180324-Plate_001	1	Plate_001	B	6	B6	1	Plate_001	B6	B	6	GAL4.delta	GAL80.41	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-0	GAL4.delta
180324-Plate_001.B7	180324-Plate_001	1	Plate_001	B	7	B7	1	Plate_001	B7	B	7	GAL4.delta	GAL80.WT	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.WT	GAL4.delta
180324-Plate_001.B8	180324-Plate_001	1	Plate_001	B	8	B8	1	Plate_001	B8	B	8	GAL4.delta	GAL80.delta	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.delta	GAL4.delta
180324-Plate_001.B9	180324-Plate_001	1	Plate_001	B	9	B9	1	Plate_001	B9	B	9	GAL4.delta	GAL80.07	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.07	GAL4.delta
180324-Plate_001.B10	180324-Plate_001	1	Plate_001	B	10	B10	1	Plate_001	B10	B	10	GAL4.delta	GAL80.35	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-2	GAL4.delta
180324-Plate_001.B11	180324-Plate_001	1	Plate_001	B	11	B11	1	Plate_001	B11	B	11	GAL4.delta	GAL80.37	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-1	GAL4.delta
180324-Plate_001.B12	180324-Plate_001	1	Plate_001	B	12	B12	1	Plate_001	B12	B	12	GAL4.delta	GAL80.41	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80S-0	GAL4.delta
180324-Plate_001.C1	180324-Plate_001	1	Plate_001	C	1	C1	1	Plate_001	C1	C	1	GAL4.35	GAL80.WT	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.WT	GAL4-L868P
180324-Plate_001.C2	180324-Plate_001	1	Plate_001	C	2	C2	1	Plate_001	C2	C	2	GAL4.35	GAL80.delta	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.delta	GAL4-L868P
180324-Plate_001.C3	180324-Plate_001	1	Plate_001	C	3	C3	1	Plate_001	C3	C	3	GAL4.35	GAL80.07	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80.07	GAL4-L868P
180324-Plate_001.C4	180324-Plate_001	1	Plate_001	C	4	C4	1	Plate_001	C4	C	4	GAL4.35	GAL80.35	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-2	GAL4-L868P
180324-Plate_001.C5	180324-Plate_001	1	Plate_001	C	5	C5	1	Plate_001	C5	C	5	GAL4.35	GAL80.37	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-1	GAL4-L868P
180324-Plate_001.C6	180324-Plate_001	1	Plate_001	C	6	C6	1	Plate_001	C6	C	6	GAL4.35	GAL80.41	GAL3.WT	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.WT	GAL80S-0	GAL4-L868P
180324-Plate_001.C7	180324-Plate_001	1	Plate_001	C	7	C7	1	Plate_001	C7	C	7	GAL4.35	GAL80.WT	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.WT	GAL4-L868P
180324-Plate_001.C8	180324-Plate_001	1	Plate_001	C	8	C8	1	Plate_001	C8	C	8	GAL4.35	GAL80.delta	GAL3.delta	pAMN50.1 - 2 - A2	1	GALK.Esc_col	GALK	1	GAL3.delta	GAL80.delta	GAL4-L868P
