samp.plate	source.plate	glu	gal	fold.dilution
180404-Plate_001	180324-Plate_001	0.1	0	1
180404-Plate_002	180324-Plate_002	0.1	0	1
180404-Plate_003	180324-Plate_003	0.1	0	1
180404-Plate_004	180324-Plate_004	0.1	0	1
180404-Plate_005	180324-Plate_005	0.1	0	1
180404-Plate_006	180324-Plate_006	0.1	0	1
180404-Plate_007	180324-Plate_007	0.1	0	1
180404-Plate_008	180324-Plate_008	0.1	0	1
180404-Plate_009	180324-Plate_009	0.1	0	1
180404-Plate_010	180324-Plate_010	0.1	0	1
180404-Plate_011	180324-Plate_011	0.1	0	1
180404-Plate_012	180324-Plate_012	0.1	0	1
180404-Plate_013	180324-Plate_001	0.1	0	1
180404-Plate_014	180324-Plate_002	0.1	0	1
180404-Plate_015	180324-Plate_003	0.1	0	1
180404-Plate_016	180324-Plate_004	0.1	0	1
180404-Plate_017	180324-Plate_005	0.1	0	1
180404-Plate_018	180324-Plate_006	0.1	0	1
180404-Plate_019	180324-Plate_007	0.1	0	1
180404-Plate_020	180324-Plate_008	0.1	0	1
180404-Plate_021	180324-Plate_009	0.1	0	1
180404-Plate_022	180324-Plate_010	0.1	0	1
180404-Plate_023	180324-Plate_011	0.1	0	1
180404-Plate_024	180324-Plate_012	0.1	0	1
180405-Plate_001	180324-Plate_001	0	0.2	0.045
180405-Plate_002	180324-Plate_002	0	0.2	0.045
180405-Plate_003	180324-Plate_003	0	0.2	0.045
180405-Plate_004	180324-Plate_004	0	0.2	0.045
180405-Plate_005	180324-Plate_005	0	0.2	0.045
180405-Plate_006	180324-Plate_006	0	0.2	0.045
180405-Plate_007	180324-Plate_007	0	0.2	0.045
180405-Plate_008	180324-Plate_008	0	0.2	0.045
180405-Plate_009	180324-Plate_009	0	0.2	0.045
180405-Plate_010	180324-Plate_010	0	0.2	0.045
180405-Plate_011	180324-Plate_011	0	0.2	0.045
180405-Plate_012	180324-Plate_012	0	0.2	0.045
180405-Plate_013	180324-Plate_001	0	0.2	0.045
180405-Plate_014	180324-Plate_002	0	0.2	0.045
180405-Plate_015	180324-Plate_003	0	0.2	0.045
180405-Plate_016	180324-Plate_004	0	0.2	0.045
180405-Plate_017	180324-Plate_005	0	0.2	0.045
180405-Plate_018	180324-Plate_006	0	0.2	0.045
180405-Plate_019	180324-Plate_007	0	0.2	0.045
180405-Plate_020	180324-Plate_008	0	0.2	0.045
180405-Plate_021	180324-Plate_009	0	0.2	0.045
180405-Plate_022	180324-Plate_010	0	0.2	0.045
180405-Plate_023	180324-Plate_011	0	0.2	0.045
180405-Plate_024	180324-Plate_012	0	0.2	0.045
